date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:06:30	8271/8271	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Feb%202019%2018:27:11%20GMT	https://fossmeet.in/js/index.js	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/js/index.js	(from https://fossmeet.in/)
20:06:31	2403/2403	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Feb%202019%2007:14:59%20GMT	https://fossmeet.in/schedule/static/schedules.css	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/schedule/static/schedules.css	(from https://fossmeet.in/schedule/)
20:06:54	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:32%20GMT	https://fossmeet.in/resources/img/logo.png	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/logo.png	(from https://fossmeet.in/)
20:06:54	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:32%20GMT	https://fossmeet.in/resources/img/header-logo-dark.png	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/header-logo-dark.png	(from https://fossmeet.in/)
20:06:54	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:32%20GMT	https://fossmeet.in/resources/img/speakers/bradley.jpg	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/speakers/bradley.jpg	(from https://fossmeet.in/)
20:06:56	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:34%20GMT	https://fossmeet.in/resources/img/speakers/sasikumar.png	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/speakers/sasikumar.png	(from https://fossmeet.in/)
20:06:56	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:34%20GMT	https://fossmeet.in/resources/img/speakers/amol.jpg	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/speakers/amol.jpg	(from https://fossmeet.in/)
20:06:56	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:34%20GMT	https://fossmeet.in/resources/img/speakers/bhuvana.jpg	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/speakers/bhuvana.jpg	(from https://fossmeet.in/)
20:06:56	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:34%20GMT	https://fossmeet.in/resources/img/speakers/aswin.jpg	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/speakers/aswin.jpg	(from https://fossmeet.in/)
20:06:56	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:34%20GMT	https://fossmeet.in/resources/img/speakers/karthickeyan.jpg	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/speakers/karthickeyan.jpg	(from https://fossmeet.in/)
